features,levels,decision,supportRHS,accuracyRHS,Therotical_Accuracy,cuts,cut1,cut2,cut3,cut4,Combinatorial_gain
"X00000053274,SDK2","1,2",NonProt,6,0.85714,0.63173007896626,"value<cut,cut<value<cut",-0.2752,-1.1013,0.4804,,-0.22540992103374
"A1BG,THRB","1,3",NonProt,6,0.85714,0.208333333333333,"value<cut,value>cut",-1.9115,-3.1655,,,-0.648806666666667
"ESR1,ZNF576","1,1",NonProt,6,0.85714,0.412371134020619,"value<cut,value<cut",0.57305,3.741,,,-0.444768865979381
"STARD8,X00000058427","3,3",NonProt,6,1,0.636942675159236,"value>cut,value>cut",1.4761,1.82838,,,-0.363057324840764
"LOC114669850,X00000058427","1,3",NonProt,6,0.89286,0.359550561797753,"value<cut,value>cut",-0.29807,1.827,,,-0.533309438202247
"X00000058729,X00000059995","2,1",NonProt,6,1,0.920502092050209,"cut<value<cut,value<cut",-4.7414,-2.5992,-0.3992,,-0.0794979079497908
"DLK1,LTC4S","2,1",Prot,6,0.90476,0.0493954298965137,"cut<value<cut,value<cut",-1.814,0.0425,-0.4734,,-0.855364570103486
"LOC701920,F2RL3","3,1",Prot,6,0.85714,0.609201527666755,"value>cut,value<cut",5.46933,-3.6888,,,-0.247938472333245
"X00000037843,LOC701920","1,3",Prot,6,0.85714,0.176509946215806,"value<cut,value>cut",2.4749,5.54,,,-0.680630053784194
"X00000064715,LOC709056","3,2",Prot,6,1,0.36369902964102,"value>cut,cut<value<cut",1.9788,-0.427,0.6827,,-0.63630097035898
