features	levels	decision	cuts	supportLHS	supportRHS	accuracyRHS	coverageLHS	coverageRHS	stabilityLHS	stabilityRHS	cut1	cut2	cut3	cut4	supportRatioLHS	supportRatioRHS	pValue	riskRatio	pValueRiskRatio	confIntRiskRatio	cut5
X00000037843,TARM1	1,1	Prot	value<cut,value<cut	6	6	1	0.17738	0.3394	1	1	2.46577	1.31418			0.3	0.3	1	Inf	1	-Inf:Inf	
X00000037843,X00000060146	1,2	Prot	value<cut,cut<value<cut	6	6	1	0.17048	0.331	1	1	2.46764	-4.829	-3.0233		0.3	0.3	1	Inf	1	-Inf:Inf	
X00000037843,STARD8	1,2	Prot	value<cut,cut<value<cut	6	6	1	0.18095	0.34503	1	1	2.4685	0.66507	1.46377		0.3	0.3	1	Inf	1	-Inf:Inf	
X00000064715,X00000059995	3,2	Prot	value>cut,cut<value<cut	6	6	1	0.17143	0.33333	1	1	1.789	-0.2925	0.6708		0.3	0.3	1	Inf	1	-Inf:Inf	
LOC719667,MAOA	3,2	NonProt	value>cut,cut<value<cut	6	6	1	0.18571	0.37255	1	1	4.9985	0.2491	0.6932		0.31579	0.31579	1	Inf	1	-Inf:Inf	
LOC719667,LOC715623	3,2	NonProt	value>cut,cut<value<cut	6	6	1	0.17143	0.35294	1	1	4.964	-1.7648	-0.4805		0.31579	0.31579	1	Inf	1	-Inf:Inf	
HCN2,CTH	3,3	NonProt	value>cut,value>cut	6	6	1	0.17143	0.34314	1	1	-2.16505	-0.82585			0.31579	0.31579	1	Inf	1	-Inf:Inf	
LOC719667,SMIM2	3,3	NonProt	value>cut,value>cut	6	6	1	0.18095	0.3799	1	1	4.964	1.0579			0.31579	0.31579	1	Inf	1	-Inf:Inf	
LOC719667,A1BG	3,1	NonProt	value>cut,value<cut	7	7	1	0.19048	0.378	1	1	4.987	-1.9115			0.36842	0.36842	1	Inf	1	-Inf:Inf	
LOC719667,TARM1	3,3	NonProt	value>cut,value>cut	6	6	1	0.17959	0.36671	1	1	4.98071	2.03637			0.31579	0.31579	1	Inf	1	-Inf:Inf	
LOC719667,DLK1	3,3	NonProt	value>cut,value>cut	7	7	1	0.20571	0.4085	1	1	4.9826	0.01254			0.36842	0.36842	1	Inf	1	-Inf:Inf	
LOC719667,KIR3DL0	3,1	NonProt	value>cut,value<cut	6	6	1	0.18452	0.37725	1	1	4.97912	2.87887			0.31579	0.31579	1	Inf	1	-Inf:Inf	
STARD8,USP31	3,3	NonProt	value>cut,value>cut	6	6	1	0.18571	0.37629	1	1	1.4621	0.73077			0.31579	0.31579	1	Inf	1	-Inf:Inf	
TNNT2,A1BG	1,3	Prot	value<cut,value>cut	6	6	1	0.17048	0.32708	1	1	-2.4278	-1.4146			0.3	0.3	1	Inf	1	-Inf:Inf	
FABP5,X00000053274	1,3	Prot	value<cut,value>cut	6	6	1	0.18003	0.35245	1	1	1.99315	1.45642			0.3	0.3	1	Inf	1	-Inf:Inf	
TNNT2,X00000058729	1,3	Prot	value<cut,value>cut	6	6	1	0.17143	0.33333	1	1	-2.361	-2.3497			0.3	0.3	1	Inf	1	-Inf:Inf	
TNNT2,TRIM16	1,3	Prot	value<cut,value>cut	6	6	1	0.17143	0.33333	1	1	-2.361	-1.0518			0.3	0.3	1	Inf	1	-Inf:Inf	
LOC719667,LOC701920	1,3	Prot	value<cut,value>cut	6	6	1	0.17143	0.33333	1	1	4.2055	5.525			0.3	0.3	1	Inf	1	-Inf:Inf	
TNNT2,KIR3DL0	1,3	Prot	value<cut,value>cut	6	6	1	0.17143	0.33333	1	1	-2.361	3.634			0.3	0.3	1	Inf	1	-Inf:Inf	
