features	levels	decision	supportLHS	supportRHS	accuracyRHS	coverageLHS	coverageRHS	cuts	cut1	cut2	cut3	pValue	riskRatio	pValueRiskRatio	confIntRiskRatio	supportSetLHS	supportSetRHS	cut4	stabilityLHS	stabilityRHS	supportRatioLHS	supportRatioRHS	cut5
VSTM1,F5	3,3	Non-protected	7	7	1	0.17949	0.36842	value>cut,value>cut	5.18617	6.32433		0.0491400491400492	Inf	0.0464403082493858	-Inf:Inf	30412,29511,28724,32342,32371,32383,32576	30412,29511,28724,32342,32371,32383,32576						
VSTM1,LTC4S	1,1	Protected	8	8	1	0.20513	0.4	value<cut,value<cut	4.38656	-0.43814		0.0307125307125308	Inf	0.0340718052391842	-Inf:Inf	30027,29208,29515,29483,30407,28885,28949,33252	30027,29208,29515,29483,30407,28885,28949,33252						
VSTM1,LTC4S	3,3	Non-protected	8	7	0.875	0.20513	0.36842	value>cut,value>cut	5.2235	0.5971		0.264127764127764	7.36842105263158	0.226645820073278	0.998:54.391	29558,30412,29484,29511,28724,32342,32371,32576	30412,29484,29511,28724,32342,32371,32576						
VSTM1,OSCAR	1,1	Protected	9	9	1	0.23077	0.45	value<cut,value<cut	4.40335	2.47125		0.0118887215661409	Inf	0.0149802956877032	-Inf:Inf	29208,29211,29515,29483,30407,28808,28949,29215,33252	29208,29211,29515,29483,30407,28808,28949,29215,33252						
OSCAR	1	Protected	13	13	1	0.33333	0.65	value<cut	2.46628			0.000143159208787685	Inf	0.000322767965671433	-Inf:Inf	30028,29208,29211,29515,29483,30407,28808,28949,29014,29215,31481,32786,33252	30028,29208,29211,29515,29483,30407,28808,28949,29014,29215,31481,32786,33252						
OSCAR	1	Protected	13	13	1	0.33333	0.65	value<cut	2.46806			0.000209966839555271	Inf	0.000473393016318102	-Inf:Inf	30028,29208,29211,29515,29483,30407,28808,28949,29014,29215,31481,32786,33252	30028,29208,29211,29515,29483,30407,28808,28949,29014,29215,31481,32786,33252						
OSCAR,AZU1	1,1	Protected	8	8	1	0.20513	0.4	value<cut,value<cut	2.4787	1.7703		0.0450450450450451	Inf	0.0499719810174701	-Inf:Inf	30028,29483,30407,28808,28949,29014,29215,33252	30028,29483,30407,28808,28949,29014,29215,33252						
OSCAR,CD300LD	3,2	Non-protected	7	6	0.857142857142857	0.17949	0.31579	value>cut,cut<value<cut	2.9083	1.3239	1.8379	0.848232848232848	6.31578947368421	0.722515077973807	0.836:47.694	29558,29484,29511,32342,32371,32383,32575	29484,29511,32342,32371,32383,32575						
OSCAR,HEY1	1,1	Protected	7	7	1	0.17949	0.35	value<cut,value<cut	2.4787	-1.7672		0.110880110880111	Inf	0.108944610685276	-Inf:Inf	29208,29211,29483,28949,29014,32786,33252	29208,29211,29483,28949,29014,32786,33252						
OSCAR,HEY1	2,2	Non-protected	7	6	0.857142857142857	0.17949	0.31579	cut<value<cut,cut<value<cut	2.473	2.999	-1.8936	0.848232848232848	6.31578947368421	0.722515077973807	0.836:47.694	29523,30027,28724,29528,31824,32570,32576	29523,28724,29528,31824,32570,32576	-0.7844					
OSCAR,LILRB1	3,3	Non-protected	8	7	0.875	0.20513	0.36842	value>cut,value>cut	2.86295	7.702		0.281736281736282	7.36842105263158	0.241755541411496	0.998:54.391	29484,29511,28810,28885,31824,32342,32383,32575	29484,29511,28810,31824,32342,32383,32575						
OSCAR,STARD8	3,3	Non-protected	7	7	1	0.17949	0.36842	value>cut,value>cut	2.89049	1.46804		0.0524160524160525	Inf	0.0495363287993449	-Inf:Inf	29511,30400,28810,32342,32371,32383,32575	29511,30400,28810,32342,32371,32383,32575						
OSCAR,TMEM40	1,1	Protected	7	7	1	0.17949	0.35	value<cut,value<cut	2.46948	2.24983		0.110880110880111	Inf	0.108944610685276	-Inf:Inf	29208,29211,29515,29483,30407,28949,33252	29208,29211,29515,29483,30407,28949,33252						
LOC701920	1	NonProt	12	12	0.91987	0.35714	0.63889	value<cut	5.27			0.0131548996955004	Inf	0.0253479650718482	-Inf:Inf				1	1	0.63158	0.63158	
TMX2	3	Prot	10	10	0.90455	0.29563	0.48684	value>cut	3.24			0.296716070909619	Inf	0.427163780627783	-Inf:Inf				1	1	0.5	0.5	
KIR3DL0	1	NonProt	12	11	0.91667	0.34286	0.61111	value<cut	2.9505			0.407801890560512	11.5789473684211	0.422350028633934	1.65:81.258				1	1	0.63158	0.57895	
KRTAP29.1	2	NonProt	12	11	0.91667	0.34286	0.61111	cut<value<cut	-5.023	-4.338		0.407801890560512	11.5789473684211	0.422350028633934	1.65:81.258				1	1	0.63158	0.57895	
LOC702786	2	NonProt	12	11	0.91667	0.34286	0.61111	cut<value<cut	-5.0229	-2.3455		0.407801890560512	11.5789473684211	0.422350028633934	1.65:81.258				1	1	0.63158	0.57895	
