Sample ID;Group;Vaccine Description;RhCMV Status;vaccine route of inoculation;protectionStatus;AnimalID;Time_Point;Sex;Age;Study Event;PAXgene Sample Collection Date
O14_30400_W0_D7;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;30400;D7;male;;D7 of prime;
O14_30400_W18_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;30400;D126;male;;D0 of boost;
O14_30400_W18_D3;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;30400;D129;male;;D3 of boost;
O14_30400_W18_D7;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;30400;D133;male;;D7 of boost;
O14_30400_W88_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;30400;PreChal (W88);male;;PreChallenge;
O15_30407_W0_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;30407;D0;male;;baseline;
O15_30407_W0_D3;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;30407;D3;male;;D3 of prime;
O15_30407_W0_D7;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;30407;D7;male;;D7 of prime;
O15_30407_W18_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;30407;D126;male;;D0 of boost;
O15_30407_W18_D3;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;30407;D129;male;;D3 of boost;
O15_30407_W18_D7;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;30407;D133;male;;D7 of boost;
O15_30407_W88_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;30407;PreChal (W88);male;;PreChallenge;
O2_28808_W0_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;28808;D0;male;;baseline;
O2_28808_W0_D3;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;28808;D3;male;;D3 of prime;
O2_28808_W0_D7;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;28808;D7;male;;D7 of prime;
O2_28808_W18_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;28808;D126;male;;D0 of boost;
